iter	Logloss
0	0.6160538595
1	0.5571350197
2	0.5021918896
3	0.4580926956
4	0.4212019767
5	0.3896018176
6	0.3608447975
7	0.3359648808
8	0.3156800943
9	0.2980025903
10	0.2816738574
11	0.2661597431
12	0.2533005095
13	0.2420488118
14	0.2313349851
15	0.2227102625
16	0.2146476224
17	0.207173831
18	0.2006568882
19	0.1955419969
20	0.1903497544
21	0.1859662671
22	0.1824336245
23	0.1784220222
24	0.1752672525
25	0.1720514145
26	0.1690624025
27	0.1669171415
28	0.1646359167
29	0.1623697989
30	0.1604883439
31	0.1586869658
32	0.1572295095
33	0.1555504883
34	0.1541573182
35	0.1525811094
36	0.1513388828
37	0.1500309744
38	0.1489255638
39	0.1480599216
40	0.1471955483
41	0.1463751265
42	0.1450828729
43	0.1437805978
44	0.1428662399
45	0.1422549673
46	0.1415528344
47	0.1410398734
48	0.1405401416
49	0.1404579839
50	0.1399860679
51	0.139605692
52	0.1391543084
53	0.1386157127
54	0.1381749251
55	0.1376679287
56	0.1372616934
57	0.1369309963
58	0.1365295202
59	0.1360076317
60	0.1356216697
61	0.1349309073
62	0.1343101389
63	0.1339606494
64	0.1335466232
65	0.1330781952
66	0.1327420073
67	0.1323145695
68	0.1320344384
69	0.1315303622
70	0.1312626965
71	0.1310113568
72	0.1305966136
73	0.1303748128
74	0.1300373248
75	0.1296044122
76	0.1293224935
77	0.1290983725
78	0.128595148
79	0.1280045637
80	0.127843987
81	0.1277169242
82	0.1274099034
83	0.1271011481
84	0.1268919569
85	0.1266046607
86	0.1262202122
87	0.1259599863
88	0.1255443072
89	0.1250193587
90	0.1246864239
91	0.1245770418
92	0.1240383431
93	0.1238249691
94	0.1235215278
95	0.1232882422
96	0.1231766095
97	0.1230284966
98	0.1228678832
99	0.1225924458
