iter	Passed	Remaining
0	6	626
1	14	732
2	20	658
3	28	693
4	37	709
5	44	703
6	53	704
7	60	692
8	68	688
9	75	679
10	83	673
11	91	669
12	97	652
13	105	647
14	113	640
15	120	632
16	127	624
17	135	618
18	143	612
19	151	607
20	160	602
21	168	595
22	177	592
23	185	586
24	194	582
25	202	576
26	210	570
27	220	567
28	229	562
29	238	556
30	246	549
31	255	542
32	263	534
33	271	526
34	279	519
35	287	510
36	294	502
37	302	494
38	311	487
39	319	479
40	327	471
41	336	464
42	344	456
43	352	448
44	359	439
45	367	431
46	375	423
47	384	416
48	392	408
49	395	395
50	404	388
51	412	380
52	421	373
53	429	365
54	437	358
55	446	350
56	457	344
57	469	339
58	482	335
59	493	328
60	502	321
61	507	311
62	514	301
63	520	292
64	525	282
65	530	273
66	536	264
67	542	255
68	550	247
69	555	238
70	564	230
71	568	221
72	572	211
73	578	203
74	581	193
75	585	184
76	588	175
77	593	167
78	596	158
79	599	149
80	603	141
81	608	133
82	612	125
83	615	117
84	618	109
85	621	101
86	625	93
87	628	85
88	631	78
89	634	70
90	638	63
91	642	55
92	645	48
93	648	41
94	651	34
95	654	27
96	657	20
97	660	13
98	663	6
99	666	0
